city,year,gdp_per_capita,gdp_total,disposable_income,population,house_price,housing_burden,housing_sales_area,housing_sales_value,population_growth,university_quality,tertiary_ratio,rd_expenditure,innovation_index,listed_company_count,job_posting_count,entry_salary,rent_monthly,rent_burden
Xiamen,2022,146998.1160512434,7802.66,67999.0,5308000.0,34982.833333333336,0.5144609969754458,,,0.005303030303030365,9.5,58.183106786659934,59.29,59.29,38.0,3909.0,69321.0,3200.0,0.5647141869733379
Xiamen,2023,151625.75187969924,8066.49,71062.0,5320000.0,32413.75,0.4561333764881371,,,0.0022607385079125297,9.5,64.10235430775964,61.66,61.66,38.0,3510.0,68415.0,3200.0,0.5403731952379612
Xiamen,2024,160542.2429906542,8589.01,74249.0,5350000.0,34576.833333333336,0.4656875289005015,,,0.005639097744360999,9.5,63.04894277687416,72.66,72.66,38.0,2950.0,65580.0,3200.0,0.517178682541179
Xiamen,2025,167388.07082945015,8980.37,77762.0,5365000.0,36167.25,0.4651018492322728,,,0.002803738317757043,9.5,61.9282947139149,79.08,79.08,38.0,2852.0,64268.0,3200.0,0.49381445950464237
Zhengzhou,2021,99599.74886203108,12691.0,39511.0,12742000.0,17647.25,0.4466414416238516,,,0.011223774409007126,21.7,58.9,84.1,84.1,32.0,9387.0,48095.0,1900.0,0.577054491154362
Zhengzhou,2022,99281.25974430933,12735.8,41049.0,12828000.0,17951.666666666668,0.43732287428845207,,,0.00674933291477009,21.7,58.6,85.5,85.5,32.0,6758.0,55900.0,1900.0,0.5554337499086458
Zhengzhou,2023,104687.8843788438,13617.8,43785.0,13008000.0,16784.833333333332,0.38334665600852647,,,0.014031805425631427,21.7,59.3,88.3,88.3,32.0,6024.0,55169.0,1900.0,0.5207262761219595
Zhengzhou,2024,111050.74125019104,14532.1,45994.2,13086000.0,16562.666666666668,0.3601033753531243,,,0.005996309963099522,21.7,61.0,89.6,89.6,32.0,5000.0,53640.0,1900.0,0.49571467706797817
Zhengzhou,2025,116034.40401887654,15244.6,48021.0,13138000.0,15732.75,0.3276222902480165,,,0.003973712364358839,21.7,62.2,73.7,73.7,32.0,4824.0,52567.0,1900.0,0.47479227837820953
Chongqing,2021,86879.0,27894.02,33803.0,32124300.0,11656.5,0.3448362571369405,,,0.0021882027851674035,27.6,53.01154154187887,92.6,92.6,72.0,9307.0,60106.0,2200.0,0.780995769606248
Chongqing,2022,90663.0,29129.03,35666.0,32133400.0,12033.0,0.3373801379465037,,,0.0002832746550118781,27.6,52.94759214433162,100.5,100.5,72.0,6701.0,69861.0,2200.0,0.7402007514159143
Chongqing,2023,94135.0,30145.79,37595.0,31914300.0,12382.25,0.3293589573081527,,,-0.0068184505841274445,27.6,54.30930819859091,109.6,109.6,72.0,5992.0,68948.0,2200.0,0.7022210400319191
Chongqing,2024,100889.0,32193.15,39713.0,31904699.999999996,12575.0,0.3166469418074686,,,-0.0003008055949841326,27.6,57.051422429926866,120.3,120.3,72.0,5000.0,67188.0,2200.0,0.6647697227608088
Chongqing,2025,105874.0,33757.93,41580.0,31872600.0,11196.416666666666,0.2692740901074234,,,-0.0010061213551607606,27.6,58.78929780350869,132.8,132.8,72.0,4829.0,65844.0,2200.0,0.6349206349206349
Harbin,2021,56580.0,5351.7,42745.0,9885000.0,11809.083333333334,0.2762681795141732,,,-0.012477647129341962,26.6,63.5,9.75,9.75,28.0,2000.0,48112.0,1600.0,0.44917534214528015
Harbin,2022,55175.0,5490.1,41374.0,9824100.0,12054.75,0.29136051626625414,,,-0.006160849772382404,26.6,63.5,10.4,10.4,28.0,1440.0,55920.0,1600.0,0.4640595543094697
Harbin,2023,57040.71194762684,5576.3,56961.0,9776000.0,10907.333333333334,0.19148774307567168,,,-0.0048961228000529156,26.6,63.5,11.59,11.59,28.0,1276.0,57022.0,1600.0,0.3370727339758782
Harbin,2024,61029.620612700346,6016.3,48216.0,9858000.0,11029.916666666666,0.22876050826834798,,,0.00838788870703766,26.6,63.5,19.08,19.08,28.0,1050.0,55860.0,1600.0,0.3982080637132902
Harbin,2025,62592.29290988166,6188.5,50065.0,9887000.0,10571.583333333334,0.2111571623556044,,,0.002941773179143903,26.6,63.5,13.73,13.73,28.0,1011.0,54743.0,1600.0,0.3835014481174473
Shenyang,2021,79706.0,7249.7,50566.0,9118000.0,11645.083333333334,0.2302947303194505,,,0.00528186425431354,21.0,60.0,23.4,23.4,26.0,4828.0,46129.0,1700.0,0.40343313689040067
Shenyang,2022,84268.0,7695.8,45500.0,9147000.0,13430.166666666666,0.29516849816849816,,,0.003180522044307965,21.0,58.1,24.9,24.9,26.0,3476.0,53615.0,1700.0,0.44835164835164837
Shenyang,2023,88519.0,8122.1,47455.0,9204000.0,13314.416666666666,0.28056931127735046,,,0.006231551328304441,21.0,59.5,34.9,34.9,26.0,3089.0,53960.0,1700.0,0.429880939837741
Shenyang,2024,97871.0,9027.1,49758.0,9243000.0,13266.166666666666,0.26661374385358466,,,0.004237288135593209,21.0,61.3,38.7,38.7,26.0,2550.0,52812.0,1700.0,0.40998432412878333
Shenyang,2025,98105.86459680895,9100.3,51827.0,9276000.0,12306.916666666666,0.23746149047150455,,,0.0035702693930541596,21.0,63.1,35.0,35.0,26.0,2458.0,51756.0,1700.0,0.39361722654214987
Kunming,2021,84950.59985885675,7222.5,52523.0,8502000.0,13160.333333333334,0.25056324530840457,,,0.004954085583979806,16.9,63.7,10.62,10.62,16.0,2441.0,48556.0,1800.0,0.4112484054604649
Kunming,2022,87690.3488372093,7541.37,53832.0,8600000.0,13579.916666666666,0.2522647619755288,,,0.011526699600094004,16.9,63.7,14.88,14.88,16.0,1757.0,56436.0,1800.0,0.4012483281319661
Kunming,2023,90821.0,7864.76,45511.0,8680000.0,13860.25,0.3045472523126277,,,0.009302325581395321,16.9,65.05000000000001,8.84,8.84,16.0,1566.0,55698.0,1800.0,0.4746105337171233
Kunming,2024,95060.0,8275.22,57444.0,8687000.0,13368.583333333334,0.2327237541489683,,,0.0008064516129031585,16.9,66.4,5.0,5.0,16.0,1300.0,54336.0,1800.0,0.3760183831209526
Kunming,2025,98855.0,8637.45,48754.0,8744000.0,12470.833333333334,0.2557909778342974,,,0.006561528721077403,16.9,66.4,4.4,4.4,16.0,1254.0,53249.0,1800.0,0.44304057103006933
Nanchang,2021,104788.0,6650.53,50447.0,6437500.0,12016.916666666666,0.23820874713395576,,,0.02917550691789783,18.1,48.027901535667084,45.85,45.85,22.0,1877.0,49511.0,1900.0,0.4519594822288739
Nanchang,2022,111031.0,7203.5,44422.0,6538099.999999999,11595.083333333334,0.2610211907013042,,,0.015627184466019184,18.1,51.41395076783354,39.5,39.5,22.0,1352.0,57546.0,1900.0,0.5132591958939264
Nanchang,2023,113240.30936938584,7437.85,46709.0,6568199.999999999,11463.25,0.24541844184204328,,,0.004603783973937459,18.1,54.8,37.19,37.19,22.0,1205.0,56794.0,1900.0,0.4881286261748271
Nanchang,2024,116940.06356440393,7800.37,48891.0,6670400.0,11294.333333333334,0.23101047909294828,,,0.015559818519533586,18.1,54.8,39.13,39.13,22.0,1000.0,55176.0,1900.0,0.46634349880346077
Nanchang,2025,117843.0,8141.69,53434.0,6910000.0,10174.0,0.19040311412209454,,,0.03591988486447595,18.1,55.3,40.0,40.0,22.0,965.0,54072.0,1900.0,0.4266946139162331
