city,year,house_price,source,source_url,city_zh
Shanghai,2021,100.35833333333332,NBS 70-city new home price index (GitHub: changao1/70-China-cities-housing-index-data),https://raw.githubusercontent.com/changao1/70-China-cities-housing-index-data-by-national-bureau-of-statistics/main/merged_housing_data_eng.csv,
Shanghai,2022,100.35,NBS 70-city new home price index (GitHub: changao1/70-China-cities-housing-index-data),https://raw.githubusercontent.com/changao1/70-China-cities-housing-index-data-by-national-bureau-of-statistics/main/merged_housing_data_eng.csv,
Shanghai,2023,100.35,NBS 70-city new home price index (GitHub: changao1/70-China-cities-housing-index-data),https://raw.githubusercontent.com/changao1/70-China-cities-housing-index-data-by-national-bureau-of-statistics/main/merged_housing_data_eng.csv,
Shanghai,2024,100.43333333333334,NBS 70-city new home price index (GitHub: changao1/70-China-cities-housing-index-data),https://raw.githubusercontent.com/changao1/70-China-cities-housing-index-data-by-national-bureau-of-statistics/main/merged_housing_data_eng.csv,
Shanghai,2025,100.39166666666668,NBS 70-city new home price index (GitHub: changao1/70-China-cities-housing-index-data),https://raw.githubusercontent.com/changao1/70-China-cities-housing-index-data-by-national-bureau-of-statistics/main/merged_housing_data_eng.csv,
Shenyang,2020,100.43333333333334,NBS 70-city new home price index (GitHub: changao1/70-China-cities-housing-index-data),https://raw.githubusercontent.com/changao1/70-China-cities-housing-index-data-by-national-bureau-of-statistics/main/merged_housing_data_eng.csv,
Shenyang,2021,100.23333333333332,NBS 70-city new home price index (GitHub: changao1/70-China-cities-housing-index-data),https://raw.githubusercontent.com/changao1/70-China-cities-housing-index-data-by-national-bureau-of-statistics/main/merged_housing_data_eng.csv,
Shenyang,2022,99.56666666666666,NBS 70-city new home price index (GitHub: changao1/70-China-cities-housing-index-data),https://raw.githubusercontent.com/changao1/70-China-cities-housing-index-data-by-national-bureau-of-statistics/main/merged_housing_data_eng.csv,
Shenyang,2023,99.9,NBS 70-city new home price index (GitHub: changao1/70-China-cities-housing-index-data),https://raw.githubusercontent.com/changao1/70-China-cities-housing-index-data-by-national-bureau-of-statistics/main/merged_housing_data_eng.csv,
Shenyang,2024,99.64166666666668,NBS 70-city new home price index (GitHub: changao1/70-China-cities-housing-index-data),https://raw.githubusercontent.com/changao1/70-China-cities-housing-index-data-by-national-bureau-of-statistics/main/merged_housing_data_eng.csv,
Shenyang,2025,99.96666666666664,NBS 70-city new home price index (GitHub: changao1/70-China-cities-housing-index-data),https://raw.githubusercontent.com/changao1/70-China-cities-housing-index-data-by-national-bureau-of-statistics/main/merged_housing_data_eng.csv,
Shenzhen,2020,100.33333333333331,NBS 70-city new home price index (GitHub: changao1/70-China-cities-housing-index-data),https://raw.githubusercontent.com/changao1/70-China-cities-housing-index-data-by-national-bureau-of-statistics/main/merged_housing_data_eng.csv,
Shenzhen,2021,100.29166666666669,NBS 70-city new home price index (GitHub: changao1/70-China-cities-housing-index-data),https://raw.githubusercontent.com/changao1/70-China-cities-housing-index-data-by-national-bureau-of-statistics/main/merged_housing_data_eng.csv,
Shenzhen,2022,99.975,NBS 70-city new home price index (GitHub: changao1/70-China-cities-housing-index-data),https://raw.githubusercontent.com/changao1/70-China-cities-housing-index-data-by-national-bureau-of-statistics/main/merged_housing_data_eng.csv,
Shenzhen,2023,99.69166666666666,NBS 70-city new home price index (GitHub: changao1/70-China-cities-housing-index-data),https://raw.githubusercontent.com/changao1/70-China-cities-housing-index-data-by-national-bureau-of-statistics/main/merged_housing_data_eng.csv,
Shenzhen,2024,99.48333333333332,NBS 70-city new home price index (GitHub: changao1/70-China-cities-housing-index-data),https://raw.githubusercontent.com/changao1/70-China-cities-housing-index-data-by-national-bureau-of-statistics/main/merged_housing_data_eng.csv,
Shenzhen,2025,99.625,NBS 70-city new home price index (GitHub: changao1/70-China-cities-housing-index-data),https://raw.githubusercontent.com/changao1/70-China-cities-housing-index-data-by-national-bureau-of-statistics/main/merged_housing_data_eng.csv,
Wuhan,2020,100.38333333333333,NBS 70-city new home price index (GitHub: changao1/70-China-cities-housing-index-data),https://raw.githubusercontent.com/changao1/70-China-cities-housing-index-data-by-national-bureau-of-statistics/main/merged_housing_data_eng.csv,
Wuhan,2021,100.3,NBS 70-city new home price index (GitHub: changao1/70-China-cities-housing-index-data),https://raw.githubusercontent.com/changao1/70-China-cities-housing-index-data-by-national-bureau-of-statistics/main/merged_housing_data_eng.csv,
Wuhan,2022,99.50833333333333,NBS 70-city new home price index (GitHub: changao1/70-China-cities-housing-index-data),https://raw.githubusercontent.com/changao1/70-China-cities-housing-index-data-by-national-bureau-of-statistics/main/merged_housing_data_eng.csv,
Wuhan,2023,100.03333333333336,NBS 70-city new home price index (GitHub: changao1/70-China-cities-housing-index-data),https://raw.githubusercontent.com/changao1/70-China-cities-housing-index-data-by-national-bureau-of-statistics/main/merged_housing_data_eng.csv,
Wuhan,2024,99.31666666666666,NBS 70-city new home price index (GitHub: changao1/70-China-cities-housing-index-data),https://raw.githubusercontent.com/changao1/70-China-cities-housing-index-data-by-national-bureau-of-statistics/main/merged_housing_data_eng.csv,
Wuhan,2025,99.71666666666664,NBS 70-city new home price index (GitHub: changao1/70-China-cities-housing-index-data),https://raw.githubusercontent.com/changao1/70-China-cities-housing-index-data-by-national-bureau-of-statistics/main/merged_housing_data_eng.csv,
